agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,1,13,-544.328112757642,-0.06566023515612213,5900.0,95.0
Q-Learning,1,14,-574.9658350974738,-0.09037676206440068,6239.0,339.0
Q-Learning,1,15,-606.2035574373057,-0.09054412272415026,6584.0,345.0
Q-Learning,1,16,-619.2412797771373,-0.07998602662473363,6747.0,163.0
Q-Learning,1,17,-630.9790021169689,-0.07825148226554389,6897.0,150.0
Q-Learning,1,18,-672.0167244568008,-0.09263594207637016,7340.0,443.0
Q-Learning,1,19,-715.2544467966328,-0.09298434911791831,7805.0,465.0
Q-Learning,1,20,-721.3921691364644,-0.06529491850884685,7899.0,94.0
Q-Learning,1,21,-722.029891476296,-0.016351854867477502,7938.0,39.0
Q-Learning,1,22,-740.9676138161277,-0.08530505558482733,8160.0,222.0
Q-Learning,1,23,-754.3053361559593,-0.08034772493874448,8326.0,166.0
Q-Learning,1,24,-781.3430584957911,-0.08923340706215109,8629.0,303.0
Q-Learning,1,25,-798.7807808356227,-0.0842402045402495,8836.0,207.0
Q-Learning,1,26,-804.0185031754544,-0.06162026282154831,8921.0,85.0
Q-Learning,1,27,-811.456225515286,-0.0695114237367439,9028.0,107.0
Q-Learning,1,28,-814.1939478551176,-0.04562870566386026,9088.0,60.0
Q-Learning,1,29,-816.1316701949492,-0.03726389115060805,9140.0,52.0
Q-Learning,1,30,-840.7693925347809,-0.0883072485298629,9419.0,279.0
Q-Learning,1,31,-845.8071148746125,-0.06069544987748924,9502.0,83.0
Q-Learning,1,32,-874.2448372144443,-0.0897089032802265,9819.0,317.0
Q-Learning,1,33,-878.3825595542759,-0.055915166754481216,9893.0,74.0
Q-Learning,1,34,-889.5202818941075,-0.07734529402660822,10037.0,144.0
Q-Learning,1,35,-897.5580042339391,-0.07113028619319997,10150.0,113.0
Q-Learning,1,36,-904.0957265737707,-0.06671145244726125,10248.0,98.0
Q-Learning,1,37,-913.8334489136023,-0.074905556460243,10378.0,130.0
Q-Learning,1,38,-931.5711712534339,-0.08446534447538881,10588.0,210.0
